Year,Period,labor force,employment,unemployment,unemployment rate
2004,Jan,1081981,992020,89961,8.3
2004,Feb,1085611,996452,89159,8.2
2004,Mar,1085272,997684,87588,8.1
2004,Apr,1081847,1003319,78528,7.3
2004,May,1076652,1003558,73094,6.8
2004,Jun,1078130,1000877,77253,7.2
2004,Jul,1088930,1012667,76263,7.0
2004,Aug,1090303,1014322,75981,7.0
2004,Sep,1076432,1007888,68544,6.4
2004,Oct,1084032,1015640,68392,6.3
2004,Nov,1092294,1023916,68378,6.3
2004,Dec,1087093,1021444,65649,6.0
2005,Jan,1083819,1011781,72038,6.6
2005,Feb,1088523,1014008,74515,6.8
2005,Mar,1086641,1015647,70994,6.5
2005,Apr,1088258,1021675,66583,6.1
2005,May,1086997,1024177,62820,5.8
2005,Jun,1087010,1021202,65808,6.1
2005,Jul,1096965,1032405,64560,5.9
2005,Aug,1102644,1038741,63903,5.8
2005,Sep,1092483,1032499,59984,5.5
2005,Oct,1100416,1042192,58224,5.3
2005,Nov,1108489,1048602,59887,5.4
2005,Dec,1103264,1048490,54774,5.0
2006,Jan,1102669,1038862,63807,5.8
2006,Feb,1107016,1041300,65716,5.9
2006,Mar,1108318,1045641,62677,5.7
2006,Apr,1108660,1052654,56006,5.1
2006,May,1109058,1055120,53938,4.9
2006,Jun,1113519,1056424,57095,5.1
2006,Jul,1120887,1062297,58590,5.2
2006,Aug,1127102,1068325,58777,5.2
2006,Sep,1119284,1067032,52252,4.7
2006,Oct,1130738,1079227,51511,4.6
2006,Nov,1143007,1088073,54934,4.8
2006,Dec,1138911,1087585,51326,4.5
2007,Jan,1134639,1073299,61340,5.4
2007,Feb,1138297,1075914,62383,5.5
2007,Mar,1139649,1079579,60070,5.3
2007,Apr,1135817,1079570,56247,5.0
2007,May,1135088,1081737,53351,4.7
2007,Jun,1136472,1080504,55968,4.9
2007,Jul,1145872,1088013,57859,5.0
2007,Aug,1150534,1091714,58820,5.1
2007,Sep,1145380,1092224,53156,4.6
2007,Oct,1153770,1100287,53483,4.6
2007,Nov,1164131,1109060,55071,4.7
2007,Dec,1159257,1103910,55347,4.8
2008,Jan,1160535,1097210,63325,5.5
2008,Feb,1158351,1094107,64244,5.5
2008,Mar,1160246,1097211,63035,5.4
2008,Apr,1160531,1101859,58672,5.1
2008,May,1158509,1099606,58903,5.1
2008,Jun,1163332,1098402,64930,5.6
2008,Jul,1174280,1104699,69581,5.9
2008,Aug,1180749,1106163,74586,6.3
2008,Sep,1172338,1102005,70333,6.0
2008,Oct,1181220,1102028,79192,6.7
2008,Nov,1188604,1100629,87975,7.4
2008,Dec,1185573,1086713,98860,8.3
2009,Jan,1186252,1069533,116719,9.8
2009,Feb,1191844,1063009,128835,10.8
2009,Mar,1190406,1055774,134632,11.3
2009,Apr,1189368,1056208,133160,11.2
2009,May,1183058,1051953,131105,11.1
2009,Jun,1181789,1047621,134168,11.4
2009,Jul,1183988,1050272,133716,11.3
2009,Aug,1189233,1056304,132929,11.2
2009,Sep,1173221,1048324,124897,10.6
2009,Oct,1177054,1051576,125478,10.7
2009,Nov,1183442,1059335,124107,10.5
2009,Dec,1180308,1052405,127903,10.8
2010,Jan,1200249,1063667,136582,11.4
2010,Feb,1200586,1064839,135747,11.3
2010,Mar,1205496,1068848,136648,11.3
2010,Apr,1207998,1079672,128326,10.6
2010,May,1201944,1079499,122445,10.2
2010,Jun,1205252,1081367,123885,10.3
2010,Jul,1204641,1083189,121452,10.1
2010,Aug,1214441,1093000,121441,10.0
2010,Sep,1205701,1091007,114694,9.5
2010,Oct,1211641,1098163,113478,9.4
2010,Nov,1221363,1104341,117022,9.6
2010,Dec,1214734,1101896,112838,9.3
2011,Jan,1213828,1092799,121029,10.0
2011,Feb,1213013,1094307,118706,9.8
2011,Mar,1214568,1099366,115202,9.5
2011,Apr,1214156,1105866,108290,8.9
2011,May,1212530,1105495,107035,8.8
2011,Jun,1216691,1105742,110949,9.1
2011,Jul,1215047,1105174,109873,9.0
2011,Aug,1219061,1109456,109605,9.0
2011,Sep,1209434,1106389,103045,8.5
2011,Oct,1215246,1112115,103131,8.5
2011,Nov,1219577,1118268,101309,8.3
2011,Dec,1213919,1115061,98858,8.1
2012,Jan,1209375,1104472,104903,8.7
2012,Feb,1210451,1105038,105413,8.7
2012,Mar,1209924,1106656,103268,8.5
2012,Apr,1204222,1108744,95478,7.9
2012,May,1201317,1108416,92901,7.7
2012,Jun,1200916,1104177,96739,8.1
2012,Jul,1198503,1100439,98064,8.2
2012,Aug,1196441,1100610,95831,8.0
2012,Sep,1187414,1099913,87501,7.4
2012,Oct,1193706,1104254,89452,7.5
2012,Nov,1193068,1104412,88656,7.4
2012,Dec,1185854,1095924,89930,7.6
2013,Jan,1179603,1080772,98831,8.4
2013,Feb,1177163,1081725,95438,8.1
2013,Mar,1174004,1083149,90855,7.7
2013,Apr,1172850,1089048,83802,7.1
2013,May,1173917,1091780,82137,7.0
2013,Jun,1178105,1091898,86207,7.3
2013,Jul,1183422,1097720,85702,7.2
2013,Aug,1187291,1104089,83202,7.0
2013,Sep,1179263,1103808,75455,6.4
2013,Oct,1181932,1104589,77343,6.5
2013,Nov,1189746,1113935,75811,6.4
2013,Dec,1183281,1108678,74603,6.3
2014,Jan,1183572,1102509,81063,6.8
2014,Feb,1187319,1103946,83373,7.0
2014,Mar,1191408,1110537,80871,6.8
2014,Apr,1186433,1114798,71635,6.0
2014,May,1191573,1120112,71461,6.0
2014,Jun,1197111,1123541,73570,6.1
2014,Jul,1206521,1129768,76753,6.4
2014,Aug,1212421,1136262,76159,6.3
2014,Sep,1206334,1137397,68937,5.7
2014,Oct,1214453,1144968,69485,5.7
2014,Nov,1219309,1150365,68944,5.7
2014,Dec,1210926,1146189,64737,5.3
